# z-xml-fixtures-v3
# id	path	classification	recommendation	feature_checks	description
encoding-utf16be-explicit	valid/encoding/utf16be-explicit.xml	well-formed	XML1.0-5e	document,utf16	UTF-16 big-endian document with explicit endian declaration
encoding-utf16le-markup	valid/encoding/utf16le-markup.xml	well-formed	XML1.0-5e	document,utf16,unicode_names,attributes	UTF-16 names attributes supplementary text and CRLF normalization
encoding-utf16be-no-declaration	valid/encoding/utf16be-no-declaration.xml	well-formed	XML1.0-5e	document,utf16	UTF-16 big-endian document without an XML declaration
encoding-utf32le	valid/encoding/utf32le-bom.xml	well-formed	XML1.0-5e	document,utf32	UTF-32 little-endian document with required byte order mark
encoding-utf32be	valid/encoding/utf32be-bom.xml	well-formed	XML1.0-5e	document,utf32	UTF-32 big-endian document with required byte order mark
encoding-latin1	valid/encoding/iso-8859-1.xml	well-formed	XML1.0-5e	document,latin1	Declared ISO-8859-1 document with a non-ASCII byte
encoding-ascii	valid/encoding/ascii-declared.xml	well-formed	XML1.0-5e	document,ascii	Declared US-ASCII document
encoding-cr	valid/encoding/cr-line-endings.xml	well-formed	XML1.0-5e	document	Literal carriage-return line endings accepted and normalized by event adapters
encoding-crlf	valid/encoding/crlf-line-endings.xml	well-formed	XML1.0-5e	document	Literal CRLF line endings accepted and normalized by event adapters
ns-scope-rebinding	valid/namespaces/scope_rebinding.xml	namespace-valid	NS1.0-3e	document,namespaces,attributes,element_matching,numeric_references	Default and prefixed namespace rebinding undeclaration reserved names and equivalent URI references
dtd-external-entities	valid/dtd/external_entities.xml	dtd-valid	XML1.0-5e	dtd,external_dtd,external_general_entities,external_parameter_entities	External subset, parameter entity, general entity, text declarations, and default attribute
dtd-bounded-expansion	valid/dtd/bounded_entity_expansion.xml	dtd-valid	XML1.0-5e	dtd,internal_entities	Bounded three-level internal entity expansion with 1000 output bytes
dtd-parameter-entity	valid/dtd/parameter_entity_declaration.xml	dtd-valid	XML1.0-5e	dtd,internal_parameter_entities	Internal parameter entity supplies an element declaration
dtd-tokenized-attributes	valid/dtd/tokenized_attributes.xml	dtd-valid	XML1.0-5e	dtd	Every tokenized and enumerated attribute type with an unparsed entity
dtd-standalone	valid/dtd/standalone.xml	dtd-valid	XML1.0-5e	dtd,external_dtd	Standalone document with an external declaration that does not affect content
dtd-combined-declarations	valid/dtd/combined_declarations.xml	dtd-valid	XML1.0-5e	dtd,attributes	Sequence choice repetition mixed ANY EMPTY attribute ID and IDREF constraints
dtd-repeated-entities	valid/dtd/repeated_entities.xml	dtd-valid	XML1.0-5e	dtd,internal_entities	Repeated internal general entity references
bad-empty	invalid/not_well_formed/empty.xml	not-well-formed	XML1.0-5e	check_document_element	Empty document
bad-text-only	invalid/not_well_formed/text_only.xml	not-well-formed	XML1.0-5e	check_document_element	Character data without document element
bad-multiple-roots	invalid/not_well_formed/multiple_roots.xml	not-well-formed	XML1.0-5e	check_single_root	Two document elements
bad-mismatched	invalid/not_well_formed/mismatched_tags.xml	not-well-formed	XML1.0-5e	check_element_matching	Mismatched end tag
bad-unclosed-element	invalid/not_well_formed/unclosed_element.xml	not-well-formed	XML1.0-5e	check_complete_end_tag	Truncated end tag
bad-unexpected-end	invalid/not_well_formed/unexpected_end.xml	not-well-formed	XML1.0-5e	check_element_matching	End tag without start
bad-duplicate-attribute	invalid/not_well_formed/duplicate_attribute.xml	not-well-formed	XML1.0-5e	check_duplicate_attributes	Duplicate raw attribute name
bad-unquoted-attribute	invalid/not_well_formed/unquoted_attribute.xml	not-well-formed	XML1.0-5e	check_attribute_syntax	Unquoted attribute value
bad-missing-equals	invalid/not_well_formed/missing_equals.xml	not-well-formed	XML1.0-5e	check_attribute_syntax	Missing attribute equals sign
bad-attribute-lt	invalid/not_well_formed/attribute_lt.xml	not-well-formed	XML1.0-5e	check_attribute_lt	Raw less-than in attribute value
bad-undefined-entity	invalid/not_well_formed/undefined_entity.xml	not-well-formed	XML1.0-5e	check_declared_entities	Reference to undeclared entity
bad-character-reference	invalid/not_well_formed/malformed_character_reference.xml	not-well-formed	XML1.0-5e	check_numeric_reference_syntax	Malformed hexadecimal character reference
bad-zero-reference	invalid/not_well_formed/zero_character_reference.xml	not-well-formed	XML1.0-5e	check_zero_reference	Reference to forbidden null character
bad-surrogate-reference	invalid/not_well_formed/surrogate_character_reference.xml	not-well-formed	XML1.0-5e	check_surrogate_reference	Reference to surrogate code point
bad-range-reference	invalid/not_well_formed/out_of_range_character_reference.xml	not-well-formed	XML1.0-5e	check_range_reference	Reference above Unicode range
bad-cdata-close-text	invalid/not_well_formed/cdata_close_in_text.xml	not-well-formed	XML1.0-5e	check_cdata_close	CDATA closing delimiter in normal text
bad-comment-hyphen	invalid/not_well_formed/comment_double_hyphen.xml	not-well-formed	XML1.0-5e	check_comment_syntax	Double hyphen inside comment
bad-comment-unclosed	invalid/not_well_formed/unclosed_comment.xml	not-well-formed	XML1.0-5e	check_comment_syntax	Unclosed comment
bad-pi-target	invalid/not_well_formed/reserved_pi_target.xml	not-well-formed	XML1.0-5e	check_pi_target	Reserved xml processing instruction target
bad-cdata-unclosed	invalid/not_well_formed/unclosed_cdata.xml	not-well-formed	XML1.0-5e	check_cdata_syntax	Unclosed CDATA section
bad-text-before-root	invalid/not_well_formed/text_before_root.xml	not-well-formed	XML1.0-5e	check_document_text	Character data before root
bad-text-after-root	invalid/not_well_formed/text_after_root.xml	not-well-formed	XML1.0-5e	check_document_text	Character data after root
bad-declaration-position	invalid/not_well_formed/declaration_not_first.xml	not-well-formed	XML1.0-5e	check_xml_declaration_position	XML declaration after comment
bad-declaration-duplicate	invalid/not_well_formed/duplicate_declaration.xml	not-well-formed	XML1.0-5e	check_xml_declaration_single	Two XML declarations
bad-declaration-order	invalid/not_well_formed/declaration_attribute_order.xml	not-well-formed	XML1.0-5e	check_xml_declaration_order	Version not first in XML declaration
bad-version	invalid/not_well_formed/unsupported_version.xml	not-well-formed	XML1.0-5e	check_xml_version_1_0	Unsupported XML version
bad-doctype-position	invalid/not_well_formed/doctype_after_root.xml	not-well-formed	XML1.0-5e	check_doctype_position	DOCTYPE after document element
bad-doctype-duplicate	invalid/not_well_formed/multiple_doctypes.xml	not-well-formed	XML1.0-5e	check_doctype_single	Two document type declarations
bad-name-digit	invalid/not_well_formed/name_starts_with_digit.xml	not-well-formed	XML1.0-5e	check_name_syntax	Element name begins with digit
bad-end-name-space	invalid/not_well_formed/space_in_end_tag.xml	not-well-formed	XML1.0-5e	check_element_matching	Whitespace before end-tag name
bad-attribute-truncated	invalid/not_well_formed/truncated_attribute.xml	not-well-formed	XML1.0-5e	check_attribute_syntax	Truncated quoted attribute
bad-start-tag-truncated	invalid/not_well_formed/truncated_start_tag.xml	not-well-formed	XML1.0-5e	check_complete_start_tag	Truncated start tag
bad-entity-truncated	invalid/not_well_formed/truncated_entity.xml	not-well-formed	XML1.0-5e	check_entity_reference_syntax	Entity reference without semicolon
bad-shape-duplicate-attribute	invalid/not_well_formed/shape_duplicate_attribute_late.xml	not-well-formed	XML1.0-5e	check_duplicate_attributes	Duplicate attribute after a wide start tag prefix
encoding-bad-utf8-continuation	invalid/encoding/utf8-lone-continuation.xml	not-well-formed	XML1.0-5e	utf8,check_utf8_encoding	Lone UTF-8 continuation byte
encoding-bad-utf8-overlong	invalid/encoding/utf8-overlong.xml	not-well-formed	XML1.0-5e	utf8,check_utf8_encoding	Overlong UTF-8 encoding
encoding-bad-utf8-truncated	invalid/encoding/utf8-truncated.xml	not-well-formed	XML1.0-5e	utf8,check_utf8_encoding	Truncated UTF-8 multibyte sequence
encoding-bad-utf8-surrogate	invalid/encoding/utf8-surrogate.xml	not-well-formed	XML1.0-5e	utf8,check_utf8_encoding	UTF-8 encoding of a surrogate code point
encoding-bad-utf8-range	invalid/encoding/utf8-out-of-range.xml	not-well-formed	XML1.0-5e	utf8,check_utf8_encoding	UTF-8 sequence above U+10FFFF
encoding-bad-utf8-byte	invalid/encoding/utf8-invalid-byte.xml	not-well-formed	XML1.0-5e	utf8,check_utf8_encoding	Byte FF in UTF-8 input
encoding-bad-null	invalid/encoding/literal-null.xml	not-well-formed	XML1.0-5e	utf8,check_xml_characters	Literal null byte in character data
encoding-bad-control	invalid/encoding/literal-control.xml	not-well-formed	XML1.0-5e	utf8,check_xml_characters	Forbidden literal XML control character U+0001
encoding-bad-utf16-odd	invalid/encoding/utf16le-odd-byte.xml	not-well-formed	XML1.0-5e	utf16,check_utf16_encoding	Odd byte count in UTF-16 little-endian input
encoding-bad-utf16-high	invalid/encoding/utf16le-unpaired-high-surrogate.xml	not-well-formed	XML1.0-5e	utf16,check_utf16_encoding	Unpaired UTF-16 high surrogate
encoding-bad-utf16-low	invalid/encoding/utf16be-unpaired-low-surrogate.xml	not-well-formed	XML1.0-5e	utf16,check_utf16_encoding	Unpaired UTF-16 low surrogate
encoding-bad-utf16le-signature	invalid/encoding/utf16le-missing-signature.xml	not-well-formed	XML1.0-5e	utf16,check_utf16_encoding	UTF-16 little-endian document without its required signature
encoding-bad-utf16be-signature	invalid/encoding/utf16be-missing-signature.xml	not-well-formed	XML1.0-5e	utf16,check_utf16_encoding	UTF-16 big-endian document without its required signature
encoding-bad-utf16le-declared-be	invalid/encoding/utf16le-declared-be.xml	not-well-formed	XML1.0-5e	utf16,check_encoding_declaration	UTF-16 little-endian signature conflicts with big-endian declaration
encoding-bad-utf16be-declared-le	invalid/encoding/utf16be-declared-le.xml	not-well-formed	XML1.0-5e	utf16,check_encoding_declaration	UTF-16 big-endian signature conflicts with little-endian declaration
encoding-bad-utf16-high-final	invalid/encoding/utf16le-high-surrogate-final.xml	not-well-formed	XML1.0-5e	utf16,check_utf16_encoding	UTF-16 stream ends after a high surrogate
encoding-bad-declaration-utf16	invalid/encoding/declared-utf16-but-utf8.xml	not-well-formed	XML1.0-5e	utf16,check_encoding_declaration	UTF-8 bytes conflict with declared UTF-16 encoding
encoding-bad-declaration-ascii	invalid/encoding/declared-ascii-with-high-byte.xml	not-well-formed	XML1.0-5e	ascii,check_encoding_declaration	Non-ASCII input conflicts with US-ASCII declaration
bad-recursive-entity	invalid/not_well_formed/recursive_entity.xml	not-well-formed	XML1.0-5e	dtd,internal_entities,check_general_entity_recursion	Recursive internal general entity violates the no-recursion constraint
bad-recursive-parameter-entity	invalid/not_well_formed/recursive_parameter_entity.xml	not-well-formed	XML1.0-5e	dtd,external_parameter_entities,check_parameter_entity_recursion	External parameter entity recursively includes itself
bad-unparsed-entity-reference	invalid/not_well_formed/unparsed_entity_reference.xml	not-well-formed	XML1.0-5e	dtd,unparsed_entities,check_parsed_entity_reference	Reference to an unparsed entity in document content
ns-bad-unbound-element	invalid/namespaces/unbound_element_prefix.xml	namespace-invalid	NS1.0-3e	check_namespaces	Unbound element prefix
ns-bad-unbound-attribute	invalid/namespaces/unbound_attribute_prefix.xml	namespace-invalid	NS1.0-3e	check_namespaces	Unbound attribute prefix
ns-bad-xml-binding	invalid/namespaces/xml_prefix_wrong_uri.xml	namespace-invalid	NS1.0-3e	check_namespaces	xml prefix bound to wrong URI
ns-bad-xmlns-binding	invalid/namespaces/xmlns_prefix_binding.xml	namespace-invalid	NS1.0-3e	check_namespaces	xmlns prefix rebound
ns-bad-xmlns-element	invalid/namespaces/xmlns_as_element_prefix.xml	namespace-invalid	NS1.0-3e	check_namespaces	xmlns used as element prefix
ns-bad-expanded-attribute	invalid/namespaces/duplicate_expanded_attribute.xml	namespace-invalid	NS1.0-3e	check_namespaces,check_duplicate_attributes	Duplicate expanded attribute names
ns-bad-multiple-colons	invalid/namespaces/multiple_colons.xml	namespace-invalid	NS1.0-3e	check_namespaces	Qualified name with multiple colons
ns-bad-prefix-undeclare	invalid/namespaces/prefixed_undeclaration.xml	namespace-invalid	NS1.0-3e	check_namespaces	Prefixed namespace undeclaration
ns-bad-default-uri	invalid/namespaces/default_bound_to_xmlns_uri.xml	namespace-invalid	NS1.0-3e	check_namespaces	Default namespace bound to reserved xmlns URI
dtd-bad-root	invalid/dtd/root_name_mismatch.xml	dtd-invalid	XML1.0-5e	dtd	DOCTYPE name differs from document element
dtd-bad-undeclared-element	invalid/dtd/undeclared_element.xml	dtd-invalid	XML1.0-5e	dtd	Element lacks declaration
dtd-bad-sequence	invalid/dtd/wrong_sequence.xml	dtd-invalid	XML1.0-5e	dtd	Children violate declared sequence
dtd-bad-required-attribute	invalid/dtd/required_attribute_missing.xml	dtd-invalid	XML1.0-5e	dtd	Required attribute missing
dtd-bad-fixed-attribute	invalid/dtd/fixed_attribute_wrong.xml	dtd-invalid	XML1.0-5e	dtd	Fixed attribute has different value
dtd-bad-duplicate-id	invalid/dtd/duplicate_id.xml	dtd-invalid	XML1.0-5e	dtd	Duplicate ID value
dtd-bad-idref	invalid/dtd/missing_idref_target.xml	dtd-invalid	XML1.0-5e	dtd	IDREF has no matching ID
dtd-bad-enumeration	invalid/dtd/enumeration_value.xml	dtd-invalid	XML1.0-5e	dtd	Attribute value outside enumeration
dtd-bad-empty	invalid/dtd/empty_contains_child.xml	dtd-invalid	XML1.0-5e	dtd	EMPTY element contains child
dtd-bad-element-text	invalid/dtd/element_content_text.xml	dtd-invalid	XML1.0-5e	dtd	Element-only content contains text
dtd-bad-external	invalid/dtd/external_wrong_content.xml	dtd-invalid	XML1.0-5e	dtd,external_dtd	External DTD content model violation
external-entity-unclosed	invalid/not_well_formed/external_entity_unclosed.xml	not-well-formed	XML1.0-5e	dtd,external_general_entities,check_element_matching	External parsed entity leaves an element open across its boundary
dtd-bad-undeclared-root	invalid/dtd/undeclared_root.xml	dtd-invalid	XML1.0-5e	dtd	Document element has no declaration
dtd-bad-nondeterministic	invalid/dtd/nondeterministic_content_model.xml	dtd-invalid	XML1.0-5e	dtd,validation_deterministic_content_model	Content model permits one child to match two particles
dtd-bad-duplicate-element	invalid/dtd/duplicate_element_declaration.xml	dtd-invalid	XML1.0-5e	dtd	Element type is declared twice
dtd-bad-multiple-id	invalid/dtd/multiple_id_declarations.xml	dtd-invalid	XML1.0-5e	dtd	Element type declares two ID attributes
dtd-bad-id-default	invalid/dtd/id_default_value.xml	dtd-invalid	XML1.0-5e	dtd	ID attribute has a literal default
dtd-bad-duplicate-mixed-name	invalid/dtd/duplicate_mixed_name.xml	dtd-invalid	XML1.0-5e	dtd	Mixed content names one child type twice
dtd-bad-notation-empty	invalid/dtd/notation_on_empty_element.xml	dtd-invalid	XML1.0-5e	dtd	EMPTY element declares a NOTATION attribute
dtd-bad-multiple-notation	invalid/dtd/multiple_notation_declarations.xml	dtd-invalid	XML1.0-5e	dtd,validation_single_notation_attribute	Element type declares two NOTATION attributes
dtd-bad-undeclared-notation	invalid/dtd/undeclared_notation.xml	dtd-invalid	XML1.0-5e	dtd,validation_declared_notation	NOTATION attribute names an undeclared notation
dtd-bad-duplicate-enumeration	invalid/dtd/duplicate_enumeration_token.xml	dtd-invalid	XML1.0-5e	dtd	Enumeration repeats one token
dtd-bad-entity-attribute	invalid/dtd/entity_attribute_value.xml	dtd-invalid	XML1.0-5e	dtd	ENTITY attribute names a parsed entity
dtd-bad-nmtokens	invalid/dtd/nmtokens_value.xml	dtd-invalid	XML1.0-5e	dtd	NMTOKENS attribute contains non-name punctuation
dtd-bad-empty-comment	invalid/dtd/empty_contains_comment.xml	dtd-invalid	XML1.0-5e	dtd	EMPTY element contains a comment
dtd-bad-element-cdata-space	invalid/dtd/element_content_cdata_whitespace.xml	dtd-invalid	XML1.0-5e	dtd	Element-only content contains CDATA whitespace
dtd-bad-element-reference-space	invalid/dtd/element_content_reference_whitespace.xml	dtd-invalid	XML1.0-5e	dtd,validation_element_content_whitespace	Element-only content contains referenced whitespace
dtd-bad-missing-doctype	valid/core/mixed_content.xml	dtd-invalid	XML1.0-5e	dtd	Document has no document type declaration
dtd-bad-xml-space	invalid/dtd/xml_space_declaration.xml	dtd-invalid	XML1.0-5e	dtd,validation_xml_space_values	xml:space declaration contains an unsupported token
dtd-bad-undeclared-attribute	invalid/dtd/undeclared_attribute.xml	dtd-invalid	XML1.0-5e	dtd	Element specifies an undeclared attribute
dtd-bad-duplicate-notation	invalid/dtd/duplicate_notation_declaration.xml	dtd-invalid	XML1.0-5e	dtd,validation_unique_notation_declarations	Notation name is declared twice
dtd-bad-standalone-default	invalid/dtd/standalone_default.xml	dtd-invalid	XML1.0-5e	dtd,external_dtd	Standalone document depends on an external default attribute
dtd-bad-standalone-normalization	invalid/dtd/standalone_normalization.xml	dtd-invalid	XML1.0-5e	dtd,external_dtd	Standalone document depends on external tokenized normalization
dtd-wf-standalone-entity	invalid/dtd/standalone_entity.xml	not-well-formed	XML1.0-5e	dtd,external_dtd,check_declared_entities	Standalone document references an externally declared entity
dtd-bad-standalone-whitespace	invalid/dtd/standalone_whitespace.xml	dtd-invalid	XML1.0-5e	dtd,external_dtd	Standalone element-only content contains externally significant whitespace
xml11-restricted-reference	valid/xml11/restricted_reference.xml	dtd-valid	XML1.1-2e	xml_version_1_1,dtd,numeric_references	Restricted XML 1.1 character produced by a numeric reference
xml11-prefix-undeclaration	valid/xml11/prefix_undeclaration.xml	dtd-valid	NS1.1-2e	xml_version_1_1,dtd,namespaces	Prefixed namespace binding is undeclared for a child scope
xml11-unbound-after-undeclaration	invalid/xml11/unbound_after_undeclaration.xml	namespace-invalid	NS1.1-2e	xml_version_1_1,dtd,namespaces,check_namespaces	Undeclared prefix is used after its binding is removed
